,State,County Code,Latitude,Longitude
317,30,087,45.366151,-106.48982
318,30,083,47.803392,-104.485552
319,30,081,46.243621,-114.158889
320,30,075,45.440295,-105.370283
321,30,063,47.012907,-114.224273
322,30,053,48.391545,-115.553309
323,30,049,46.658762,-112.013089
324,30,031,45.79367,-111.16489
325,30,029,48.20054,-114.305334
326,29,510,38.656479,-90.189868
327,29,189,38.650329,-90.350313
328,29,099,38.448672,-90.395904
329,29,095,39.104686,-94.57079
330,29,077,37.199541,-93.284874
331,29,047,39.303174,-94.377014
332,29,039,37.70097,-94.03474
333,29,037,38.75961,-94.57983
334,29,021,39.741694,-94.858584
335,28,081,34.264917,-88.766222
336,28,075,32.364565,-88.731491
337,28,067,31.688638,-89.135115
338,28,059,30.378287,-88.53393
339,28,049,32.385731,-90.1412
340,28,047,30.390369,-89.049778
341,28,045,30.300833,-89.395916
342,28,043,33.834444,-89.792778
343,28,035,31.323639,-89.287167
344,28,033,34.82166,-89.98783
345,28,011,33.746056,-90.723028
346,28,001,31.560752,-91.390405
347,27,145,45.549839,-94.13345
348,27,139,44.791437,-93.512534
349,27,137,46.76643,-92.13354
350,27,123,44.95939,-93.03587
351,27,109,43.996908,-92.450366
352,27,053,44.94805,-93.34315
353,27,037,44.73846,-93.23725
354,27,021,47.38443,-94.60166
355,27,003,45.13768,-93.207615
356,26,163,42.323341,-83.068473
357,26,161,42.240565,-83.599602
358,26,147,42.953336,-82.456229
359,26,139,42.894451,-85.852734
360,26,125,42.463063,-83.183199
361,26,121,43.233061,-86.23858
362,26,115,41.763936,-83.471878
363,26,113,44.310555,-84.891865
364,26,101,44.307,-86.242649
365,26,099,42.731394,-82.793463
366,26,091,41.995568,-83.946559
367,26,081,42.984173,-85.671339
368,26,077,42.278067,-85.54189
369,26,065,42.738618,-84.534633
370,26,049,43.047224,-83.670159
371,26,033,46.481689,-84.331705
372,26,021,42.19779,-86.309694
373,26,017,43.571391,-83.890721
374,26,005,42.767786,-86.148577
375,25,027,42.263955,-71.794322
376,25,025,42.3631,-71.0543
377,25,023,42.081936,-71.014739
378,25,017,42.62668,-71.362068
379,25,013,42.105792,-72.597133
380,25,009,42.698215,-71.164413
381,25,005,41.685707,-71.169235
382,25,003,42.448009,-73.254108
383,24,510,39.297733,-76.604603
384,24,043,39.564178,-77.720244
385,24,033,38.94121,-76.93219
386,24,031,39.114313,-77.106876
387,24,029,39.305021,-75.797317
388,24,025,39.410191,-76.296946
389,24,023,39.70595,-79.012
390,24,015,39.701444,-75.860051
391,24,005,39.310833,-76.474444
392,24,003,39.169533,-76.627933
393,22,121,30.500642,-91.213556
394,22,109,29.679301,-90.779731
395,22,105,30.503287,-90.377212
396,22,087,29.943164,-89.97625
397,22,079,31.177824,-92.410746
398,22,073,32.509959,-92.046196
399,22,055,30.22611,-92.042908
400,22,051,29.900314,-90.109836
401,22,047,30.221255,-91.315418
402,22,033,30.593978,-91.251943
403,22,019,30.17735,-93.214668
404,22,017,32.471819,-93.795179
405,21,227,37.035438,-86.250628
406,21,199,37.09798,-84.61152
407,21,195,37.4826,-82.53532
408,21,183,37.319769,-86.956091
409,21,151,37.738458,-84.284952
410,21,145,37.06636,-88.63774
411,21,117,39.0725,-84.525
412,21,111,38.22876,-85.65452
413,21,101,37.8712,-87.46375
414,21,093,37.705612,-85.852629
415,21,073,38.219433,-84.83845
416,21,067,38.038966,-84.507439
417,21,059,37.780776,-87.075307
418,21,047,36.91171,-87.323337
419,21,043,38.23887,-82.9881
420,21,037,39.021881,-84.47445
421,21,029,37.98629,-85.71192
422,21,019,38.45934,-82.64041
423,21,013,36.60843,-83.73694
424,20,209,39.046314,-94.694816
425,20,191,37.47689,-97.366399
426,20,177,39.024265,-95.711275
427,20,173,37.702066,-97.314847
428,20,107,38.135882,-94.731988
429,20,091,38.838575,-94.746424
430,19,193,42.522355,-96.40021
431,19,177,40.695078,-92.006318
432,19,171,41.512077,-90.624044
433,19,163,41.264171,-95.896124
434,19,155,41.603517,-93.7479
435,19,153,43.123704,-94.693518
436,19,147,41.414388,-91.062605
437,19,139,40.969112,-95.044951
438,19,137,41.97677,-91.68766
439,19,113,40.400959,-91.391012
440,19,111,41.657232,-91.503478
441,19,103,41.874999,-90.177574
442,19,045,42.501543,-92.316017
443,19,013,41.169646,-85.629292
444,18,183,39.456238,-87.370553
445,18,167,38.013333,-87.577222
446,18,163,40.431639,-86.8525
447,18,157,38.167523,-86.983214
448,18,147,41.69666,-86.214722
449,18,141,41.6175,-87.199167
450,18,127,39.159383,-86.504762
451,18,105,39.758855,-86.115415
452,18,097,40.111975,-85.679952
453,18,095,41.707212,-86.891216
454,18,091,41.598473,-87.342947
455,18,089,38.740882,-87.484733
456,18,083,40.485479,-86.132879
457,18,067,40.009544,-85.52347
458,18,065,38.322931,-87.318789
459,18,051,38.30703,-85.832974
460,18,043,41.657155,-85.968446
461,18,039,38.391799,-86.929668
462,18,037,40.199502,-85.387908
463,18,035,38.393822,-85.664118
464,18,019,41.094965,-85.101816
465,18,003,42.263081,-89.092767
466,17,201,41.221537,-88.190967
467,17,197,39.831921,-89.644164
468,17,167,38.529631,-89.99285
469,17,163,41.514727,-90.51735
470,17,161,38.176278,-89.788459
471,17,157,40.697007,-89.584737
472,17,143,38.700632,-90.144763
473,17,119,39.866834,-88.925594
474,17,115,40.518735,-88.996896
475,17,113,42.221442,-88.242207
476,17,111,41.293015,-89.049425
477,17,099,42.467573,-87.810047
478,17,097,41.784717,-88.329374
479,17,089,39.110539,-90.32408
480,17,083,38.082155,-88.624943
481,17,065,41.771071,-88.152534
482,17,043,42.060285,-87.863225
483,17,031,40.05278,-88.37251
484,17,019,39.915409,-91.335868
485,17,001,47.536389,-116.236667
486,16,079,45.181897,-113.890285
487,16,059,42.013333,-111.809167
488,16,041,43.58031,-116.562676
489,16,027,47.316577,-116.571281
490,16,009,42.978248,-112.455813
491,16,005,43.600699,-116.347853
492,16,001,20.780997,-156.446373
493,15,009,21.392833,-157.969126
494,15,003,19.569833,-155.08065
495,15,001,32.881829,-83.333775
496,13,319,32.967359,-82.806871
497,13,303,34.9788,-85.3009
498,13,295,33.4339,-82.0224
499,13,245,33.9285,-85.04534
500,13,223,32.4297,-84.9316
501,13,215,30.8486,-83.2933
502,13,185,32.6056,-83.5978
503,13,153,34.2993,-83.8134
504,13,139,33.9632,-84.0691
505,13,135,31.169805,-81.495035
506,13,127,33.802241,-84.435618
507,13,121,34.2605,-85.3232
508,13,115,31.5776,-84.0998
509,13,095,33.901389,-84.279903
510,13,089,33.89932,-84.661514
511,13,067,33.610845,-84.390717
512,13,063,33.918137,-83.344385
513,13,059,32.110679,-81.161823
514,13,051,32.805264,-83.543493
515,13,021,29.206667,-81.0525
516,12,127,28.746111,-81.310556
517,12,117,27.290556,-82.507222
518,12,115,27.449206,-80.408104
519,12,111,28.028889,-81.972222
